QUERY_TERM	PMID	JOURNAL_TITLE	YEAR	PMCID	DOI	PMC_CITATION_COUNT	INDRA_STATEMENT_COUNT	MESH_TERMS
DMRT1	32268081	Cell Rep	2020		10.1016/j.celrep.2020.03.055	1	0	Male|Animals|Chick Embryo|Sex Differentiation|Chickens|Transcriptome|Gonads|Sex Determination Processes|Embryo, Mammalian|Testis|Gene Expression Regulation, Developmental|Computational Biology|Transcription Factors|Problem Solving|Vertebrates|Male|Animals|Chick Embryo|Sex Differentiation|Chickens|Transcriptome|Gonads|Sex Determination Processes|Embryo, Mammalian|Testis|Gene Expression Regulation, Developmental|Computational Biology|Transcription Factors|Problem Solving|Vertebrates
OSR1	32268081	Cell Rep	2020		10.1016/j.celrep.2020.03.055	1	0	Male|Animals|Chick Embryo|Sex Differentiation|Chickens|Transcriptome|Gonads|Sex Determination Processes|Embryo, Mammalian|Testis|Gene Expression Regulation, Developmental|Computational Biology|Transcription Factors|Problem Solving|Vertebrates|Male|Animals|Chick Embryo|Sex Differentiation|Chickens|Transcriptome|Gonads|Sex Determination Processes|Embryo, Mammalian|Testis|Gene Expression Regulation, Developmental|Computational Biology|Transcription Factors|Problem Solving|Vertebrates
PI15	32640991	BMC Fam Pract	2020		10.1186/s12875-020-01207-9	0	0	Humans|Secondary Care|Cross-Sectional Studies|Spain|Physicians|Government Programs|Primary Health Care|Research Personnel|Attitude of Health Personnel|Medical Assistance|Qualitative Research|Surveys and Questionnaires
PI15	32635473	Cancers (Basel)	2020		10.3390/cancers12071790	0	0	Mice|Humans|Animals|Neoplasm Recurrence, Local|Carcinoma, Pancreatic Ductal|Neoplastic Stem Cells|Pancreatic Carcinoma|Pancreatic Neoplasms|Pancreas|Xenograft Model Antitumor Assays|Intracellular Membranes|Lysosomes|Gene Expression Regulation, Neoplastic|Biomarkers, Tumor|Disease Models, Animal|Cell Transformation, Neoplastic
PI15	32607644	J. Neurol.	2020		10.1007/s00415-020-10018-y	0	0	Male|Humans|Female|carbidopa, levodopa drug combination|Levodopa|Parkinson Disease|Double-Blind Method|Carbidopa|Antiparkinson Agents|Drug Combinations|Administration, Oral|Gels|Cognition
PI15	32605302	Diagnostics (Basel)	2020		10.3390/diagnostics10070437	0	0	Middle Aged|Humans|Male|Female|Colorectal Neoplasms|NEUROG1 protein, human|Basic Helix-Loop-Helix Transcription Factors|Nerve Tissue Proteins|Occult Blood|Early Detection of Cancer|Colonic Neoplasms|CpG Islands|Biomarkers, Tumor|DNA Methylation|Sensitivity and Specificity|Feces|Promoter Regions, Genetic|Cohort Studies|Case-Control Studies|Protein Processing, Post-Translational|Adenoma
PI15	32575903	Cancers (Basel)	2020		10.3390/cancers12061644	0	0	Humans|Bile|Constriction, Pathologic|Proteomics|Adenocarcinoma|Pancreatic Carcinoma|Pancreatic Neoplasms|Cholangiocarcinoma|Bile Duct Neoplasms|Cholangiopancreatography, Endoscopic Retrograde|Machine Learning|Cholestasis, Extrahepatic|Bile Ducts, Intrahepatic
PI15	32560448	Int J Environ Res Public Health	2020		10.3390/ijerph17124334	0	0	Female|Adult|Male|Middle Aged|Humans|Adiposity|Glycogen Storage Disease Type V|Obesity|Life Style|Sex Characteristics|Body Mass Index|Absorptiometry, Photon|Adipose Tissue|Body Composition|Exercise
PI15	32545680	Cancers (Basel)	2020		10.3390/cancers12061563	0	0	Mice|Humans|Animals|fragile histidine triad protein|Acid Anhydride Hydrolases|Neoplasm Proteins|Histocompatibility Antigens Class I|Transfection|Antigen Presentation|Antigens, Neoplasm|Genes, MHC Class I|T-Lymphocytes, Cytotoxic|Vaccines|Cell Line, Tumor|Cell Count|Oncogenes|Immunotherapy
PI15	32526941	Int J Mol Sci	2020	PMC7312774	10.3390/ijms21114113	0	0	Humans|Diabetic Nephropathies|Epigenesis, Genetic|Acetylation|DNA Methylation|Histones|Protein Processing, Post-Translational|apabetalone|Quinazolinones|Sodium-Glucose Transporter 2 Inhibitors|Gene Expression Regulation|Protein Domains|Diabetes Mellitus
PI15	32492865	Antioxidants (Basel)	2020		10.3390/antiox9060468	0	0	Humans|Neoplasms|Epigenesis, Genetic|Oxidative Stress|RNA, Untranslated|Histone Code|DNA Methylation|Epigenomics|Gene Expression Regulation
PI15	32486066	Cancers (Basel)	2020		10.3390/cancers12061406	0	0	Humans|Gastrointestinal Microbiome|Colorectal Neoplasms|Dysbiosis|Colonic Neoplasms|Probiotics|Diet|Fatty Acids, Volatile|Bacteria|Disease Progression|Polyphenols
PROM1	32622311	Transl Oncol	2020	PMC7332530	10.1016/j.tranon.2020.100819	0	0	Humans|Glioma|Isocitrate Dehydrogenase|Brain Neoplasms|Up-Regulation|Transcriptional Activation|Neural Stem Cells|Mutation|Biomarkers|Codon|CD24 protein, human|CD24 Antigen
PROM1	32554499	Proc. Natl. Acad. Sci. U.S.A.	2020		10.1073/pnas.1920829117	0	0	Humans|Nerve Regeneration|Axons|Stem Cells|Peripheral Nerve Injuries|Sciatic Nerve|Biomarkers|Neurons|Gene Expression Regulation
PROM1	32534057	Gene	2020		10.1016/j.gene.2020.144890	0	0	Humans|Male|Female|Child|Stargardt Disease|Asian Continental Ancestry Group|Macular Degeneration|Genetic Association Studies|Pedigree|Retinal Dystrophies|ATP-Binding Cassette Transporters|Mutation|High-Throughput Nucleotide Sequencing|Genes, Regulator|BEST1 protein, human|Bestrophins
PROM1	32460847	Stem Cell Res Ther	2020	PMC7251672	10.1186/s13287-020-01729-0	0	0	Humans|Human Embryonic Stem Cells|Teratoma|AC133 Antigen|Glycoproteins|Antigens, CD|Neoplastic Stem Cells|Peptides|Pluripotent Stem Cells|RNA, Messenger|Glycosylation|Blastocyst|Biomarkers|Cell Proliferation
PROM1	32423767	Ophthalmology	2020		10.1016/j.ophtha.2020.04.008	0	0	Humans|Retinal Diseases|Retina|Cohort Studies|Retinitis Pigmentosa|Pedigree|Eye Proteins|Genotype|High-Throughput Nucleotide Sequencing|Mutation|United Kingdom
PROM1	32401642	Autophagy	2020		10.1080/15548627.2020.1752548	0	0	Pregnancy|Female|Humans|Autophagy|Endometrium|Homeostasis|Endometrial Neoplasms
PROM1	32347296	Biosci. Rep.	2020		10.1042/BSR20200514	0	0	Child|Humans|Child, Preschool|Female|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Myeloid-Lymphoid Leukemia Protein|Genes, Regulator|Gene Expression Regulation, Leukemic|Gene Rearrangement|Oncogene Proteins, Fusion|Histone-Lysine N-Methyltransferase|Biochemical Phenomena|Gene Ontology|HOXA10 protein, human|Homeobox A10 Proteins|FUT4 protein, human|Fucosyltransferases
PROM1	32242051	Leukemia	2020		10.1038/s41375-020-0808-y	0	0	Child|Humans|Infant|Child, Preschool|Neoplastic Stem Cells|Promoter Regions, Genetic|Myeloid-Lymphoid Leukemia Protein|Regulatory Sequences, Nucleic Acid|AC133 Antigen|Oncogene Proteins, Fusion|Genes, Regulator|Gene Expression Regulation, Leukemic|Biomarkers|Cell Line, Tumor|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Methylation|Hematologic Tests|Cell Proliferation|MLL-AF4 fusion protein, human|PROM1 protein, human
PROM1	32222998	Hepatology	2020		10.1002/hep.31252	0	0	Humans|Organoids|Biliary Tract|Bile Ducts, Extrahepatic|Bile Ducts, Intrahepatic|Liver|Epithelial Cells
PROM1	32219447	Blood	2020		10.1182/blood.2019003701	0	0	Male|Humans|Leukemia, Myeloid, Acute|Proto-Oncogenes|MDS1 and EVI1 Complex Locus Protein|GATA2 protein, human|GATA2 Transcription Factor|Translocation, Genetic|Transcription Factors|Genes, Regulator|Genes, cdc|Chromosome Structures|Karyotyping|In Situ Hybridization, Fluorescence|MECOM protein, human
edil3	32550557	Gene X	2020	PMC7285916	10.1016/j.gene.2020.100031	0	0	Humans|Mesenchymal Stem Cells|Thy-1 Antigens|Cell Differentiation|Fibroblasts|NT5E protein, human|5'-Nucleotidase|Cells, Cultured|Cell- and Tissue-Based Therapy|Flow Cytometry|Biomarkers|GPI-Linked Proteins
edil3	32383290	Proteomics	2020		10.1002/pmic.201900289	0	0	Humans|Male|Semen|Proteomics|Spermatozoa|Seminal Vesicles|Sperm Motility|Epididymis|Extracellular Vesicles|Fertility|Membranes|Cell Membrane|Membrane Proteins|LY6K protein, human|Antigens, Ly|GPI-Linked Proteins
edil3	32367296	J. Neurol.	2020		10.1007/s00415-020-09865-6	0	0	Male|Humans|Subarachnoid Hemorrhage|Intracranial Aneurysm|Exome|Risk Factors|Whole Exome Sequencing
edil3	31869263	Curr. Eye Res.	2019		10.1080/02713683.2019.1656748	0	0	
edil3	31817673	Int J Mol Sci	2019	PMC6941134	10.3390/ijms20246162	0	0	Humans|Female|Triple Negative Breast Neoplasms|Neoplastic Processes|MicroRNAs|Gene Expression Regulation, Neoplastic|Cell Proliferation|Cell Movement|Down-Regulation|MCF-7 Cells|Cell Line, Tumor|Oncogenes|MIRN137 microRNA, human
edil3	31358619	J. Biol. Chem.	2019	PMC6779430	10.1074/jbc.RA119.009799	0	0	Animals|Female|Biomineralization|Egg Shell|MFGE8 protein, human|Milk Proteins|Antigens, Surface|Glycoproteins|Avian Proteins|Chickens|Calcification, Physiologic|Eggs|Blister|Choristoma|Proteomics|Minerals
edil3	31330520	Oncology	2019		10.1159/000501340	0	1	Humans|Female|Tamoxifen|Antineoplastic Agents, Hormonal|MCF-7 Cells|Drug Resistance, Neoplasm|Gene Expression Regulation, Neoplastic|Cell Line, Tumor|Cell Proliferation|Rare Diseases
edil3	31110935	J Bone Oncol	2019	PMC6512748	10.1016/j.jbo.2019.100238	0	0	Mice|Humans|Animals|Female|Osteogenesis|Myeloid-Derived Suppressor Cells|Osteoclasts|Myeloid Cells|Cell Line, Tumor|Myelopoiesis|EDIL3 protein, human|Carrier Proteins
edil3	30961491	Curr Pharm Biotechnol	2019	PMC6806535	10.2174/1389201020666190408112822	0	0	Humans|Female|Endometrial Neoplasms|Neovascularization, Pathologic|Carrier Proteins|Biomarkers, Tumor|Gene Expression Regulation, Neoplastic|Extracellular Matrix Proteins|Tumor Microenvironment|EDIL3 protein, human
edil3	30885428	Trends Mol Med	2019	PMC6488420	10.1016/j.molmed.2019.02.010	7	0	Humans|Immunologic Factors|Inflammation|Periodontitis|Phagocytosis|Leukocytes|Neutrophils|Integrins|Carrier Proteins
P12883	10973260	Nat. Genet.	2000		10.1038/79069	45	0	Humans|Female|MYH9-Related Disorders|Myosin Heavy Chains|Giant Platelet Syndrome with Thrombocytopenia|Thrombocytopenia|Hearing Loss, Sensorineural|Mutation|Molecular Motor Proteins|Blood Platelet Disorders|Genes, Dominant|Blood Platelets|Phenotype|Cytoskeletal Proteins|Syndrome|Pedigree|Genotype|Hematologic Tests|Amino Acid Sequence|Leukocytes
P12883	8862525	Mol. Biol. Cell	1996	PMC275963	10.1091/mbc.7.7.1123	31	0	Dictyostelium|Myosins|Actins|Phenotype|Mutagenesis|Amino Acid Sequence|Binding Sites|Mutation|Protein Binding|Mutagenesis, Site-Directed|Models, Molecular|Catalytic Domain|Point Mutation
P12883	8089177	J. Cell Biol.	1994	PMC2290954	10.1083/jcb.126.6.1445	133	1	Animals|Rabbits|ezrin|Actins|radixin|Cytoskeletal Proteins|Protein Binding|moesin|Microfilament Proteins|Cytoskeleton|Binding Sites|Phosphoproteins|Amino Acid Sequence|Cell Membrane|Neurofibromin 2|Microtubules|Actin Capping Proteins|Sequence Homology
Crb2	32545533	Int J Mol Sci	2020		10.3390/ijms21124197	0	0	Humans|Transgenes|Dependovirus|Eye|Genetic Vectors|Genetic Therapy|Face|Capsid Proteins|Plasmids|Terminal Repeat Sequences|Biological Assay|Promoter Regions, Genetic
Crb2	32487038	BMC Cancer	2020	PMC7268477	10.1186/s12885-020-07000-2	0	0	Animals|Middle Aged|Humans|Male|Radium-223|Prostatic Neoplasms|Crows|Androgen Antagonists|Neoplasm Recurrence, Local|Radium|radium Ra 223 dichloride|Radioisotopes|Radiosurgery|Progression-Free Survival|Radiopharmaceuticals
Crb2	32377352	Hortic Res	2020	PMC7193625	10.1038/s41438-020-0282-8	0	0	United States|Centers for Medicare and Medicaid Services, U.S.|Cytoplasm|Plant Infertility|Fertility|Health Services|Raphanus|Pollen|Replantation
Crb2	32272846	Circulation	2020		10.1161/CIRCULATIONAHA.119.043939	0	0	Humans|Mitral Valve Insufficiency|Myocytes, Cardiac|Heart Valve Diseases|Heart Defects, Congenital|Ventricular Dysfunction, Left|Hypertrophy|Heart Failure
Crb2	32164628	BMC Public Health	2020	PMC7068979	10.1186/s12889-020-8417-2	0	0	Humans|South Africa|Anti-HIV Agents|Prisons|HIV Infections|Prisoners
Crb2	32150534	PLoS Biol.	2020	PMC7108746	10.1371/journal.pbio.3000470	0	0	Mice|Animals|Cone-Rod Dystrophies|Ventricular Remodeling|NES protein, human|Nestin|Spinal Cord|Cerebral Ventricles|Neuroglia|Astrocytes|Heart Ventricles|Down-Regulation
Crb2	32051522	J. Hum. Genet.	2020		10.1038/s10038-020-0731-0	0	0	Pregnancy|Male|Humans|Female|Cystic Kidney Disease with Ventriculomegaly|Preimplantation Diagnosis|Hydrocephalus|Polycystic Kidney Diseases|Nervous System Malformations|Genetic Testing|Prenatal Diagnosis|Mutation|Nephrosis, congenital|Nephrotic Syndrome|Phenotype|Pedigree|Amniotic Fluid|Genetic Counseling
Crb2	31795518	Genes (Basel)	2019	PMC6947654	10.3390/genes10120987	2	0	Infant, Newborn|Humans|Retina|Organogenesis|Retinal Degeneration|Eye Proteins|Leber Congenital Amaurosis|Cell Polarity|Nerve Tissue Proteins|Membrane Proteins|Drosophila Proteins|Organoids|Signal Transduction|Fetus|Human Embryonic Stem Cells|Stem Cells
Crb2	31718797	Biochem. Biophys. Res. Commun.	2019		10.1016/j.bbrc.2019.11.013	1	0	Mice|Humans|Animals|Vascular Endothelial Growth Factor A|Endothelial Cells|TYRP1 protein, human|Membrane Glycoproteins|Retina|Amaurosis congenita of Leber, type 1|Leber Congenital Amaurosis|Membrane Proteins|Eye Diseases|IgA receptor|Nerve Tissue Proteins|Mutation
Crb2	31681427	Front Genet	2019	PMC6798392	10.3389/fgene.2019.00993	2	0	Animals|Transcriptome|Chickens|Ecotype|Kenya|Altitude|Heat-Shock Response|Heat Stress Disorders|Muscle, Skeletal|Biological Phenomena|Gene Expression Profiling|Sequence Analysis, RNA|Heart|Drug Tolerance|Gene Regulatory Networks|Immune Tolerance|Hot Temperature
P17010	8905149	Biochimie	1996		10.1016/0300-9084(96)84762-6	0	0	Computers|Sequence Alignment|Databases, Protein|Algorithms|Software|Sequence Analysis|Amino Acid Sequence|Probability|Open Reading Frames
CHD7	32627857	Prenat. Diagn.	2020		10.1002/pd.5781	0	0	Pregnancy|Humans|Female|Prospective Studies|Exome|Diagnostic Tests, Routine|Ultrasonography, Prenatal|Whole Exome Sequencing|Abnormalities, Multiple|Fetus|Prenatal Diagnosis|Genetic Testing|Prenatal Care
CHD7	32625235	Front Genet	2020	PMC7314916	10.3389/fgene.2020.00592	0	0	Humans|Male|Female|Adult|CHARGE Syndrome|Phenotype|Genotype|Genetic Testing|Mutation|DNA Helicases|Coloboma|Heart Defects, Congenital|DNA-Binding Proteins|Whole Exome Sequencing|CHD7 protein, human
CHD7	32612575	Front Endocrinol (Lausanne)	2020	PMC7308526	10.3389/fendo.2020.00368	0	0	
CHD7	32611869	J Indian Soc Pedod Prev Dent	2020		10.4103/JISPPD.JISPPD_320_19	0	0	Infant, Newborn|Humans|Female|CHARGE Syndrome|Choanal Atresia|Nipples|Nose|Coloboma|DNA Helicases|Mutation|Phenotype|DNA-Binding Proteins|Genetic Testing
CHD7	32573075	Mol Genet Genomic Med	2020		10.1002/mgg3.1372	0	0	Male|Humans|Kallmann Syndrome|DNA Helicases|Hypogonadism|Asian Continental Ancestry Group|Mutation|ACTH Deficiency, Isolated|Endocrine System Diseases|DNA-Binding Proteins|Infertility, Male|Adrenocorticotropic Hormone|Hypoglycemia|CHD7 protein, human
CHD7	32509017	Exp Ther Med	2020	PMC7271729	10.3892/etm.2020.8683	0	0	Humans|Female|Infant|CHARGE Syndrome|Agnathia-microstomia-synotia|Jaw Abnormalities|Marcus Gunn phenomenon|Blepharoptosis|Reflex, Abnormal|DNA Helicases|Nervous System Diseases|Mutation|Heart Defects, Congenital|Multiple Pterygium Syndrome, Autosomal Dominant|Arthrogryposis|Microstomia|Ear, External
CHD7	32502225	PLoS ONE	2020	PMC7274392	10.1371/journal.pone.0234246	0	0	Pregnancy|Female|Mice|Humans|Infant, Newborn|Animals|Esophageal atresia with or without tracheoesophageal fistula|Esophageal Atresia|Exome|Trichorhinophalangeal Syndrome, Type I|Langer-Giedion Syndrome|Tracheoesophageal Fistula|Hair Diseases|Nose|Fingers|Parturition|Prevalence|TRPS1 protein, human|DNA-Binding Proteins|Transcription Factors|ZFHX3 protein, human|Homeodomain Proteins|CHD7 protein, human|DNA Helicases
CHD7	32493418	Orphanet J Rare Dis	2020	PMC7268350	10.1186/s13023-020-01421-9	0	0	Male|Female|Humans|Adult|Autism Spectrum Disorder|Cross-Sectional Studies|CHARGE Syndrome|Autistic Disorder|Diagnostic and Statistical Manual of Mental Disorders|Problem Behavior|Checklist|Risk Factors
CHD7	32477919	Transl Pediatr	2020	PMC7237969	10.21037/tp.2020.03.09	0	0	Infant, Newborn|Male|Humans|CHARGE Syndrome|DNA Helicases|Asian Continental Ancestry Group|DNA-Binding Proteins
PHOX2B	32604166	Am. J. Surg. Pathol.	2020		10.1097/PAS.0000000000001528	0	0	Child|Infant, Newborn|Animals|Child, Preschool|Male|Humans|Hirschsprung Disease|CALB2 protein, human|Calbindin 2|Ganglia, Invertebrate|Rectum|Enteric Nervous System|Biopsy|Acetylcholinesterase|Neurons|Transcription Factors|Suction|Histocytochemistry|Neural Stem Cells|Ganglia, Parasympathetic
PHOX2B	32594197	Cancer Immunol. Immunother.	2020		10.1007/s00262-020-02652-2	0	0	Mice|Animals|Humans|Male|Vaccines, DNA|Polyethyleneimine|Salmonella enterica|Neoplasm Recurrence, Local|Neuroblastoma|BIRC5 protein, human|Survivin|Disease Models, Animal|Tyrosine 3-Monooxygenase|Immunity, Cellular|Vaccination|Immunization|Salmonella Vaccines
PHOX2B	32590454	Appl. Immunohistochem. Mol. Morphol.	2020		10.1097/PAI.0000000000000863	0	0	Humans|DNA Nucleotidylexotransferase|Paraffin Embedding|Cytoplasm|Cytosol|DNA-Directed DNA Polymerase|Immunohistochemistry|Neoplasms|Cell Nucleus|Lymphoma, Non-Hodgkin|Diffusion|Immunoenzyme Techniques|Coloring Agents|Formaldehyde|PAX5 Transcription Factor
PHOX2B	32497400	Brain Pathol.	2020		10.1111/bpa.12868	0	0	Humans|Rats|Animals|Male|Parkinson Disease|Rats, Wistar|Proteomics|Parkinsonian Disorders|Respiration|Transcription Factors|Neurons|Substantia Nigra|Cell Nucleus|Respiratory Center|Oxidopamine|Corpus Striatum|Homeodomain Proteins|Respiratory Rate|Hypercapnia
PHOX2B	32468398	Neurosci Bull	2020		10.1007/s12264-020-00519-1	0	0	Humans|Male|Locus Coeruleus|Transcription Factors|Congenital central hypoventilation syndrome|Sleep Apnea, Central|Hypoventilation|Homeodomain Proteins|Neurons|Respiration|Mutation
PHOX2B	32335870	Acta Neurol Belg	2020		10.1007/s13760-020-01363-w	0	0	Humans|Adult|Female|Congenital central hypoventilation syndrome|Hypoventilation|Sleep Apnea, Central|Transcription Factors|Mutation|Homeodomain Proteins|Respiration Disorders|Heterozygote|Genetic Testing|Noninvasive Ventilation
PHOX2B	32296467	Atlas Genet Cytogenet Oncol Haematol	2020	PMC7158874	10.4267/2042/70771	0	0	Child|Humans|Neuroblastoma|Neoplasms, Germ Cell and Embryonal|Germ-Line Mutation|Genomics|Neural Crest|Central Nervous System Depressants|Computational Biology|Neoplasm Regression, Spontaneous|Nervous System
PHOX2B	32274237	Case Rep Pediatr	2020	PMC7136801	10.1155/2020/2713606	0	0	Child|Humans|Male|Female|Congenital central hypoventilation syndrome|Hypoventilation|Sleep Apnea, Central|Homeodomain Proteins|Transcription Factors|Mutation|Genetic Testing|Heterozygote|Medical History Taking|polyalanine|Peptides|Mass Screening|Autonomic Nervous System Diseases|Hypercapnia
PHOX2B	32166324	Endocrinology	2020	PMC7102873	10.1210/endocr/bqaa032	0	0	Animals|Mice|Pro-Opiomelanocortin|Brain Stem|Arcuate Nucleus of Hypothalamus|Solitary Nucleus|Leptin|Hypothalamus|Cholecystokinin|BDNF protein, human|Brain-Derived Neurotrophic Factor|Obesity|Neurons|Mice, Transgenic|Body Weight|Energy Metabolism|Proto-Oncogene Proteins c-fos|In Situ Hybridization|RNA, Messenger
PHOX2B	32156713	J. Med. Genet.	2020		10.1136/jmedgenet-2019-106601	0	0	Humans|Male|Female|Rett Syndrome|Methyl-CpG-Binding Protein 2|Genotype|Autonomic Nervous System|Phenotype|Circadian Rhythm|Neurons|Repressor Proteins
kegg	32645517	Fish Shellfish Immunol.	2020		10.1016/j.fsi.2020.06.023	0	0	Animals|Pseudomonas|RNA Interference|RNA-Seq|Pseudomonas plecoglossicida|Bass|Fish Diseases|Whole Exome Sequencing|Pseudomonas Infections|Immunity, Innate|Sequence Analysis, RNA|Host-Pathogen Interactions|Immune System Phenomena|Bacterial Proteins|RNA, Small Interfering
kegg	32645302	Acta Trop.	2020		10.1016/j.actatropica.2020.105623	0	0	Humans|Animals|Schistosoma japonicum|Parasites|Proteomics|Transcriptome|Snails|Trematoda|Schistosomiasis|Computational Biology|Host-Parasite Interactions|Larva|Immune System Phenomena|Catfishes|Food
kegg	32645133	Invest. Ophthalmol. Vis. Sci.	2020		10.1167/iovs.61.8.12	0	0	Humans|RNA, Long Noncoding|MicroRNAs|RNA, Messenger|Pterygium Of Conjunctiva And Cornea|Pterygium|Conjunctiva|Gene Regulatory Networks|Keloid|Gene Expression Regulation, Neoplastic|Corneal Diseases|Databases, Genetic|Vision Disorders
kegg	32643448	Drug Dev Ind Pharm	2020		10.1080/03639045.2020.1788070	0	0	Humans|Male|Female|Molecular Docking Simulation|COVID-19|severe acute respiratory syndrome coronavirus 2|SARS Virus|Severe Acute Respiratory Syndrome|Viral Proteins|China
kegg	32642801	J. Mol. Neurosci.	2020		10.1007/s12031-020-01620-w	0	0	Humans|Adult|Male|Female|Computational Biology|Glioma|Prognosis|Glioblastoma|Brain Neoplasms|Isocitrate Dehydrogenase|Genes, cdc|Gene Ontology|Mutation|Biomarkers, Tumor|Protein Interaction Maps|Gene Expression|Cyclin B2|BIRC5 protein, human|Survivin|Serine|UBE2C protein, human|Ubiquitin-Conjugating Enzymes
kegg	32642240	J Thorac Dis	2020	PMC7330802	10.21037/jtd.2020.01.33	0	0	Humans|Esophageal Squamous Cell Carcinoma|Esophageal Neoplasms|Computational Biology|Carcinoma, Squamous Cell|Gene Expression Profiling|Gene Expression Regulation, Neoplastic
kegg	32641622	J. Vet. Med. Sci.	2020		10.1292/jvms.19-0218	0	0	Cattle|Male|Animals|Proteomics|Mitochondrial Proteins|Muscle, Skeletal|Mitochondria, Muscle|Genome|Acclimatization|Gene Ontology|Selection, Genetic|Altitude|Mitochondria|Adaptation, Physiological
kegg	32641130	World J Surg Oncol	2020		10.1186/s12957-020-01920-w	0	0	Humans|Female|Computational Biology|Endometrial Neoplasms|Gene Expression Profiling|Gene Expression Regulation, Neoplastic
kegg	32641051	BMC Microbiol.	2020		10.1186/s12866-020-01873-w	0	0	Cucumis sativus|Germination|Ascomycota|Chromosome Mapping|Gene Expression Profiling|Plant Diseases|Disease Resistance|Food Hypersensitivity|Base Sequence|Biological Phenomena|Virulence|Spores|China
kegg	32639948	Aging (Albany NY)	2020		10.18632/aging.103424	0	0	Mice|Animals|Male|RNA, Circular|Mice, Inbred C57BL|Thalamus|Infarction, Middle Cerebral Artery|Computational Biology|Gene Expression Profiling|Stroke|High-Throughput Nucleotide Sequencing|MicroRNAs
